[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: verbs;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       16776    ct1pg-gnode001  0
[0] MPI startup(): 1       16777    ct1pg-gnode001  23
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Sat Nov 27 17:41:59 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong -msglog 28

# Minimum message length in bytes:   0
# Maximum message length in bytes:   268435456
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.49         0.00
            1         1000         0.48         2.07
            2         1000         0.49         4.07
            4         1000         0.48         8.28
            8         1000         0.49        16.37
           16         1000         0.48        33.13
           32         1000         0.50        64.12
           64         1000         0.50       127.13
          128         1000         0.61       209.01
          256         1000         0.64       397.17
          512         1000         0.97       525.44
         1024         1000         1.03       998.00
         2048         1000         1.16      1771.19
         4096         1000         1.58      2594.12
         8192         1000         2.17      3772.71
        16384         1000         3.43      4777.75
        32768         1000         5.31      6176.25
        65536          640         9.33      7021.72
       131072          320        15.25      8592.22
       262144          160        30.37      8631.16
       524288           80        65.15      8047.80
      1048576           40       130.52      8034.13
      2097152           20       254.06      8254.67
      4194304           10       502.05      8354.37
      8388608            5      1068.08      7853.88
     16777216            2      2339.55      7171.11
     33554432            1      7805.09      4299.05
     67108864            1     15668.67      4283.00
    134217728            1     31216.76      4299.54
    268435456            1     61472.93      4366.73


# All processes entering MPI_Finalize

