[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: tcp;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       16987    ct1pg-gnode001  0
[0] MPI startup(): 1       16988    ct1pg-gnode001  2
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Sat Nov 27 17:42:18 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong -msglog 28

# Minimum message length in bytes:   0
# Maximum message length in bytes:   268435456
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.49         0.00
            1         1000         0.53         1.88
            2         1000         0.53         3.77
            4         1000         0.45         8.98
            8         1000         0.47        17.06
           16         1000         0.47        34.31
           32         1000         0.46        69.14
           64         1000         0.52       123.65
          128         1000         0.47       271.78
          256         1000         0.50       513.16
          512         1000         0.74       691.80
         1024         1000         0.84      1224.49
         2048         1000         0.97      2115.93
         4096         1000         1.19      3452.54
         8192         1000         1.61      5098.06
        16384         1000         2.45      6678.43
        32768         1000         3.59      9124.46
        65536          640         5.97     10985.41
       131072          320         8.83     14850.17
       262144          160        16.18     16206.46
       524288           80        41.54     12621.09
      1048576           40        84.37     12428.52
      2097152           20       167.24     12539.89
      4194304           10       403.09     10405.36
      8388608            5      1027.72      8162.34
     16777216            2      2181.33      7691.29
     33554432            1      6070.91      5527.09
     67108864            1     12510.33      5364.28
    134217728            1     25790.23      5204.21
    268435456            1     52552.44      5107.95


# All processes entering MPI_Finalize

