[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: tcp;ofi_rxm
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       902      ct1pt-tnode008  0
[0] MPI startup(): 1       903      ct1pt-tnode008  2
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Sat Nov 27 15:40:28 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong -msglog 28

# Minimum message length in bytes:   0
# Maximum message length in bytes:   268435456
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.49         0.00
            1         1000         0.51         1.94
            2         1000         0.50         3.96
            4         1000         0.51         7.85
            8         1000         0.51        15.75
           16         1000         0.51        31.56
           32         1000         0.52        61.25
           64         1000         0.51       125.14
          128         1000         0.52       246.81
          256         1000         0.55       464.13
          512         1000         0.64       797.90
         1024         1000         0.64      1592.86
         2048         1000         0.90      2270.84
         4096         1000         1.17      3496.32
         8192         1000         1.49      5489.41
        16384         1000         2.37      6910.44
        32768         1000         3.52      9301.20
        65536          640         5.70     11490.43
       131072          320         8.82     14852.42
       262144          160        15.00     17475.10
       524288           80        42.28     12400.27
      1048576           40        82.46     12716.39
      2097152           20       156.49     13401.11
      4194304           10       393.77     10651.61
      8388608            5      1134.66      7393.07
     16777216            2      2537.12      6612.70
     33554432            1      5882.97      5703.65
     67108864            1     11667.35      5751.85
    134217728            1     23532.85      5703.42
    268435456            1     48353.71      5551.50


# All processes entering MPI_Finalize

