[0] MPI startup(): Intel(R) MPI Library, Version 2019 Update 9  Build 20200923 (id: abd58e492)
[0] MPI startup(): Copyright (C) 2003-2020 Intel Corporation.  All rights reserved.
[0] MPI startup(): library kind: release
[0] MPI startup(): libfabric version: 1.10.1-impi
[0] MPI startup(): libfabric provider: mlx
[0] MPI startup(): Rank    Pid      Node name       Pin cpu
[0] MPI startup(): 0       32381    ct1pt-tnode008  0
[0] MPI startup(): 1       32382    ct1pt-tnode008  1
#----------------------------------------------------------------
#    Intel(R) MPI Benchmarks 2018, MPI-1 part
#----------------------------------------------------------------
# Date                  : Sat Nov 27 15:39:46 2021
# Machine               : x86_64
# System                : Linux
# Release               : 5.7.9-1.el7.elrepo.x86_64
# Version               : #1 SMP Wed Jul 15 10:37:17 EDT 2020
# MPI Version           : 3.1
# MPI Thread Environment: 


# Calling sequence was: 

# ./IMB-MPI1 PingPong -msglog 28

# Minimum message length in bytes:   0
# Maximum message length in bytes:   268435456
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.42         0.00
            1         1000         0.43         2.33
            2         1000         0.43         4.66
            4         1000         0.43         9.33
            8         1000         0.43        18.61
           16         1000         0.43        37.09
           32         1000         0.46        69.16
           64         1000         0.47       136.99
          128         1000         0.58       219.39
          256         1000         0.61       418.68
          512         1000         0.80       638.33
         1024         1000         0.87      1172.72
         2048         1000         1.04      1972.94
         4096         1000         1.48      2768.16
         8192         1000         1.92      4273.47
        16384         1000         3.29      4974.88
        32768         1000         4.99      6572.02
        65536          640         9.06      7230.56
       131072          320        17.72      7396.27
       262144          160        33.86      7742.54
       524288           80        82.06      6388.73
      1048576           40       166.71      6289.68
      2097152           20       331.51      6326.12
      4194304           10       657.75      6376.71
      8388608            5      1367.42      6134.61
     16777216            2      3799.46      4415.68
     33554432            1      7820.16      4290.76
     67108864            1     15546.95      4316.53
    134217728            1     31130.22      4311.49
    268435456            1     62350.84      4305.24


# All processes entering MPI_Finalize

